iter	Passed	Remaining
0	33	26491
1	67	26861
2	104	27692
3	141	28096
4	174	27753
5	206	27284
6	245	27790
7	279	27677
8	326	28723
9	365	28907
10	403	28910
11	444	29177
12	476	28870
13	511	28694
14	549	28741
15	583	28589
16	615	28349
17	670	29109
18	719	29557
19	754	29431
20	786	29176
21	823	29135
22	854	28870
23	889	28749
24	929	28808
25	967	28814
26	1005	28792
27	1057	29161
28	1096	29146
29	1138	29221
30	1173	29120
31	1213	29116
32	1251	29095
33	1288	29040
34	1336	29204
35	1368	29036
36	1405	28988
37	1440	28894
38	1483	28943
39	1527	29019
40	1569	29046
41	1618	29201
42	1659	29220
43	1702	29249
44	1736	29138
45	1769	28998
46	1807	28964
47	1842	28869
48	1879	28811
49	1943	29157
50	1994	29294
51	2028	29177
52	2068	29152
53	2111	29176
54	2144	29042
55	2174	28895
56	2207	28770
57	2241	28680
58	2273	28553
59	2307	28454
60	2341	28369
61	2377	28302
62	2421	28325
63	2457	28266
64	2501	28285
65	2536	28207
66	2573	28152
67	2616	28170
68	2668	28267
69	2732	28498
70	2839	29154
71	2912	29445
72	2983	29709
73	3067	30099
74	3169	30640
75	3298	31424
76	3383	31770
77	3459	32024
78	3541	32322
79	3627	32643
80	3712	32953
81	3803	33307
82	3890	33611
83	3979	33923
84	4058	34139
85	4146	34424
86	4248	34821
87	4332	35056
88	4478	35781
89	4612	36387
90	4688	36532
91	4795	36902
92	4859	36942
93	4916	36922
94	4977	36940
95	5041	36974
96	5128	37167
97	5214	37351
98	5330	37745
99	5394	37761
100	5479	37924
101	5546	37954
102	5688	38494
103	5813	38904
104	5900	39054
105	5981	39162
106	6064	39275
107	6137	39324
108	6229	39491
109	6322	39661
110	6406	39765
111	6498	39921
112	6566	39922
113	6635	39930
114	6707	39953
115	6785	40009
116	6869	40098
117	7076	40897
118	7177	41072
119	7245	41055
120	7319	41076
121	7400	41127
122	7469	41111
123	7548	41152
124	7618	41142
125	7693	41154
126	7762	41135
127	7840	41164
128	7919	41195
129	7994	41202
130	8066	41196
131	8137	41178
132	8247	41362
133	8341	41459
134	8415	41455
135	8482	41413
136	8562	41438
137	8643	41463
138	8717	41454
139	8792	41451
140	8866	41440
141	8942	41438
142	9028	41482
143	9111	41509
144	9185	41493
145	9317	41736
146	9633	42793
147	9710	42779
148	9788	42765
149	9874	42790
150	9949	42760
151	10025	42740
152	10106	42738
153	10182	42712
154	10258	42689
155	10329	42643
