iter	RMSE
0	18.86943521
1	18.34943484
2	17.83733843
3	17.35290692
4	16.93068288
5	16.46879958
6	16.01724517
7	15.56121673
8	15.23004713
9	14.84890453
10	14.51636882
11	14.16694437
12	13.79079799
13	13.44412049
14	13.09298764
15	12.76584135
16	12.45150398
17	12.27471971
18	12.00527883
19	11.72903362
20	11.45876951
21	11.2223331
22	10.99466046
23	10.7295829
24	10.51321048
25	10.26670134
26	10.0526398
27	9.842455978
28	9.667126326
29	9.462614438
30	9.263177906
31	9.062814013
32	8.853155752
33	8.670672782
34	8.523457137
35	8.388982053
36	8.245291154
37	8.136520191
38	7.976904768
39	7.853394454
40	7.733294955
41	7.612728297
42	7.506625163
43	7.389162695
44	7.285963285
45	7.162077741
46	7.058637961
47	6.96311526
48	6.866525701
49	6.760876656
50	6.677021566
51	6.60189506
52	6.535317988
53	6.471350994
54	6.399874237
55	6.32712076
56	6.257277192
57	6.200671504
58	6.129920022
59	6.064547952
60	6.007387805
61	5.942661713
62	5.873486752
63	5.828656994
64	5.773156975
65	5.715982579
66	5.664823604
67	5.610298919
68	5.556889815
69	5.520646714
70	5.465526974
71	5.416438305
72	5.391733284
73	5.346015153
74	5.301340941
75	5.260132887
76	5.217152013
77	5.174357547
78	5.132758359
79	5.096698342
80	5.07183861
81	5.037528701
82	5.004749901
83	4.972774808
84	4.940725307
85	4.917001782
86	4.87887487
87	4.844699853
88	4.823107716
89	4.785202514
90	4.766549505
91	4.736975587
92	4.716951056
93	4.689893521
94	4.671738703
95	4.656022687
96	4.636417617
97	4.617140973
98	4.59834768
99	4.580749183
100	4.563843476
101	4.543831204
102	4.52509374
103	4.502198468
104	4.484485037
105	4.46157238
106	4.44119047
107	4.425320409
108	4.413301089
109	4.392336704
110	4.365498618
111	4.337537319
112	4.321140971
113	4.304959532
114	4.301940232
115	4.283044213
116	4.266075825
117	4.245638085
118	4.237145359
119	4.224000342
120	4.209888659
121	4.189643484
122	4.169946062
123	4.151895601
124	4.131711575
125	4.115766484
126	4.102471162
127	4.081712371
128	4.065437124
129	4.053050019
130	4.038670931
131	4.025062678
132	4.010045711
133	3.999968539
134	3.981076104
135	3.962546021
136	3.94365923
137	3.936971346
138	3.917773983
139	3.902264834
140	3.891106928
141	3.880648748
142	3.871534063
143	3.862170547
144	3.854583171
145	3.841391586
146	3.832148692
147	3.819331994
148	3.807939039
149	3.789213237
150	3.774403361
151	3.768103572
152	3.749721677
153	3.734761853
154	3.722074645
155	3.715547182
156	3.709878858
157	3.698545154
158	3.686940149
159	3.678561015
160	3.663318916
161	3.645035476
162	3.629673019
163	3.622476504
164	3.616421206
165	3.599813569
166	3.585603231
167	3.575083852
168	3.568519952
169	3.559537266
170	3.54907644
171	3.529709635
172	3.526537106
